Time,COM Elapse,0-Pressure,0-Pressure Temperature,0-Humidity,0-Humidity Temperature,1-EE03 Humidity,1-EE03 Humidity Temperature,2-Sensor Temperature,2-Object Temperature,3-GPS Latitude,3-GPS Longitude,3-GPS Altitude,3-GPS Sat Count,4-HTU21D Humidity,4-HTU21D Humidity Temperature,5-NTC Temperature A,5-NTC Resistance A,6-Hanwei CO ppm,6-Hanwei CO SUP VDC,6-Hanwei CO VDC ,7-Hanwei CH4 ppm,7-Hanwei CH4 SUP VDC,7-Hanwei CH4 VDC ,8-IST HYT 271 Humidity,8-IST HYT 271 Humidity Temperature,13-NTC Temperature B,13-NTC Resistance B,14-EEH210 Humidity,14-EEH210 Humidity Temperature,15-IMS PT100A Temperature,15-IMS PT100A Resistance,16-IMS PT100B Temperature,16-IMS PT100B Resistance,17-IST HYT 271 Humidity B,17-IST HYT 271 Humidity Temperature B,XQ-iMet-XQ Pressure,XQ-iMet-XQ Air Temperature,XQ-iMet-XQ Humidity,XQ-iMet-XQ Humidity Temp,XQ-iMet-XQ Date,XQ-iMet-XQ Time,XQ-iMet-XQ Longitude,XQ-iMet-XQ Latitude,XQ-iMet-XQ Altitude,XQ-iMet-XQ Sat Count,
2022.06.16 20:37:32.6493,1.339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.48,17.46,37.8,19.7,2022/06/16,17:02:50,68.6824671,60.8921354,44.864,7,
2022.06.16 20:37:32.6811,1.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.52,17.35,38,19.65,2022/06/16,17:02:51,68.6824685,60.8921369,43.427,7,
2022.06.16 20:37:32.7129,1.403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.5,17.46,38.2,19.62,2022/06/16,17:02:52,68.682478,60.8921423,42.007,7,
2022.06.16 20:37:32.7288,1.419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.44,17.3,38.4,19.57,2022/06/16,17:02:53,68.6824877,60.892148,40.706,7,
2022.06.16 20:37:32.7447,1.435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.41,17.23,38.6,19.53,2022/06/16,17:02:54,68.6824851,60.8921478,40.367,7,
2022.06.16 20:37:32.7871,1.477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.43,17.28,38.9,19.51,2022/06/16,17:02:55,68.6824929,60.8921537,39.469,7,
2022.06.16 20:37:32.8032,1.493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.5,16.98,39.1,19.46,2022/06/16,17:02:56,68.6824983,60.892154,39.36,7,
2022.06.16 20:37:32.8398,1.530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.46,17.2,39.4,19.43,2022/06/16,17:02:57,68.6825,60.8921505,39.049,7,
2022.06.16 20:37:32.8557,1.546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.45,17.3,39.4,19.39,2022/06/16,17:02:58,68.6824984,60.892144,38.856,7,
2022.06.16 20:37:32.8802,1.570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.46,17.33,39.4,19.38,2022/06/16,17:02:59,68.6825078,60.8921439,38.614,7,
2022.06.16 20:37:32.9120,1.602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.42,17.4,39.4,19.35,2022/06/16,17:03:00,68.6825267,60.8921545,36.376,7,
2022.06.16 20:37:32.9439,1.634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.52,17.24,39.2,19.32,2022/06/16,17:03:01,68.6825122,60.8921445,36.387,7,
2022.06.16 20:37:32.9601,1.650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.47,17.28,39.3,19.29,2022/06/16,17:03:02,68.6824954,60.892138,36.216,7,
2022.06.16 20:37:32.9920,1.682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.47,17.35,39.3,19.29,2022/06/16,17:03:03,68.6825046,60.8921484,34.487,7,
2022.06.16 20:37:33.0081,1.698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.47,17.33,39.3,19.29,2022/06/16,17:03:04,68.682503,60.8921432,35.785,7,
2022.06.16 20:37:33.0398,1.730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.49,17.33,39.4,19.28,2022/06/16,17:03:05,68.6825074,60.8921401,35.738,7,
2022.06.16 20:37:33.0734,1.764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.45,17.3,39.4,19.27,2022/06/16,17:03:06,68.6825157,60.8921398,35.762,7,
2022.06.16 20:37:33.0982,1.788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.5,17.25,39.4,19.27,2022/06/16,17:03:07,68.6825199,60.8921379,35.597,7,
2022.06.16 20:37:33.1210,1.811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1002.48,17.08,39.7,19.21,2022/06/16,17:03:08,68.6825279,60.8921362,36.025,7,
